date, pm25, pm10, o3, no2, so2, co
2020/9/10, 8, 5, , , , 
2020/9/11, 5, 5, , 1, , 
2020/9/12, 4, 5, , , , 
2020/9/13, 2, 5, , 3, , 
2020/9/14, 5, 7, , 3, , 
2020/9/15, 9, 11, , 1, , 
2020/9/16, 15, 16, , 1, , 
2020/9/17, 25, 14, , 2, , 
2020/9/18, 29, 23, , , , 
2020/9/19, 44, 18, , , , 
2020/9/20, 20, 27, , 1, , 
2020/9/21, 21, 8, , 4, 1, 
2020/9/22, 9, 5, , 1, , 
2020/9/23, 6, 5, , 1, , 
2020/9/24, 8, 9, , 1, , 
2020/9/25, 13, 7, , 1, , 
2020/9/26, 8, 9, , 1, , 
2020/9/27, 12, 6, , 3, , 
2020/9/28, 8, 6, , 4, , 
2020/9/29, 8, 6, , 6, , 
2020/9/30, 8, 7, , 2, , 
2020/4/1, 75, 22, , , , 
2020/4/2, 40, 12, , 1, , 
2020/4/3, 83, 10, , , 1, 
2020/1/2, 14, 9, , 18, 2, 
2020/1/3, 18, 9, , 4, 1, 
2020/1/4, 29, 9, , 7, 2, 
2020/1/5, 15, 13, , 14, 2, 
2020/1/6, 23, 10, , 4, 1, 
2020/1/7, 14, 10, , 10, 1, 
2020/1/8, 32, 19, , , 2, 
2020/1/9, 20, 12, , , 1, 
2020/1/10, 8, 9, , 2, 2, 
2020/1/11, 19, 14, , , 1, 
2020/1/12, 7, 3, , 3, 1, 
2020/1/13, 12, 7, , , 1, 
2020/1/14, 10, 11, , 11, 3, 
2020/1/15, 24, 11, , 4, 2, 
2020/1/16, 12, 5, , 14, 2, 
2020/1/17, 24, 9, , 8, 2, 
2020/1/18, 10, 5, , , 2, 
2020/1/19, 36, 21, , , 2, 
2020/1/20, 15, 15, , 9, 1, 
2020/1/21, 7, 8, , 2, 2, 
2020/1/22, 19, 10, , , 1, 
2020/1/23, 19, 18, , 10, 1, 
2020/1/24, 25, 18, , 1, 1, 
2020/1/25, 9, 6, , 1, 2, 
2020/1/26, 7, 4, , 1, 2, 
2020/1/27, 8, 5, , 14, 2, 
2020/1/28, 10, 5, , 16, 5, 
2020/1/29, 16, 4, , 14, 1, 
2020/1/30, 13, 4, , 21, 1, 
2020/1/31, 18, 7, , 16, , 
2020/2/1, 13, 5, , 2, , 
2020/2/2, 9, 3, , 14, 1, 
2020/2/3, 17, 6, , 3, , 
2020/2/4, 12, 5, , 1, 4, 
2020/2/5, 8, 6, , 1, 3, 
2020/2/6, 27, 18, , , 2, 
2020/2/7, 19, 12, , , 2, 
2020/2/8, 12, 11, , 16, 2, 
2020/2/24, 11, 5, , 9, , 
2020/2/25, 19, 6, , 1, , 
2020/2/26, 32, 5, , , , 
2020/2/27, 59, 7, , 2, , 
2020/2/28, 7, 3, , 11, , 
2020/2/29, 130, 6, , , , 
2020/3/1, 204, 11, , , , 
2020/3/5, 11, 5, , 12, 1, 
2020/3/6, 16, 7, , , , 
2020/3/7, 16, 6, , 2, , 
2020/3/8, 26, 15, , , , 
2020/3/9, 16, 8, , , , 
2020/3/10, 18, 7, , 1, , 
2020/3/11, 15, 7, , 11, , 
2020/3/12, 29, 14, , 4, , 
2020/3/13, 16, 5, , 3, , 
2020/3/14, 10, 6, , 4, , 
2020/3/15, 20, 13, , 2, , 
2020/3/16, 16, 8, , , 1, 
2020/3/17, 17, 7, , , , 
2020/3/18, 9, 5, , 7, , 
2020/3/19, 20, 9, , , , 
2020/3/20, 14, 6, , , , 
2020/3/26, 11, 13, , 2, , 
2020/3/27, 12, 13, , 1, 1, 
2019/10/1, 21, 6, , , , 
2019/10/2, 11, 3, , , , 
2019/10/3, 7, 16, , , , 
2019/10/4, 15, 8, , , , 
2019/10/5, 9, 18, , , , 
2019/10/6, 29, 5, , 8, , 
2019/10/7, 5, 8, , 14, 1, 
2019/10/8, 10, 6, , 10, , 
2019/10/9, 9, 6, , 8, , 
2019/10/10, 9, 6, , 11, , 
2019/10/11, 7, 3, , 3, , 
2019/10/12, 5, 9, , 2, , 
2019/10/13, 11, 4, , 1, , 
2019/10/14, 6, 5, , 1, , 
2019/10/15, 6, 8, , 10, , 
2019/10/16, 10, 20, , 24, 1, 
2019/10/17, 24, 17, , 25, 2, 
2019/10/18, 19, 7, , 17, 1, 
2019/10/19, 12, 7, , 5, 1, 
2019/10/20, 9, 6, , 11, 1, 
2019/10/21, 10, 6, , 8, 1, 
2019/10/22, 10, 6, , 6, 1, 
2019/10/23, 10, 10, , 5, 1, 
2019/10/24, 18, 6, , 7, 1, 
2019/10/25, 13, 12, , 21, 1, 
2019/10/26, 16, 10, , 22, 2, 
2019/10/27, 18, 7, , 37, 2, 
2019/10/28, 14, 9, , 16, 2, 
2019/10/29, 17, 6, , 15, 1, 
2019/10/30, 9, 4, , 21, 1, 
2019/10/31, 7, 8, , 16, 2, 
2019/11/1, 15, 6, , 12, 1, 
2019/11/2, 14, 12, , 8, 2, 
2019/11/3, 17, 12, , 19, 1, 
2019/11/4, 19, 3, , 15, 1, 
2019/11/5, 8, 3, , 12, 1, 
2019/11/6, 6, 4, , 11, 1, 
2019/11/7, 10, 5, , 2, 1, 
2019/11/8, 10, 4, , 5, 1, 
2019/11/9, 7, 5, , 1, 1, 
2019/11/10, 10, 5, , 10, 1, 
2019/11/11, 10, 4, , 8, 1, 
2019/11/12, 8, 19, , 27, 2, 
2019/11/13, 25, 11, , 26, 2, 
2019/11/14, 18, 13, , 18, 2, 
2019/11/15, 24, 9, , 14, 1, 
2019/11/16, 22, 5, , 15, 1, 
2019/11/17, 13, 4, , 2, 1, 
2019/11/18, 7, 2, , 3, 1, 
2019/11/19, 4, 4, , 5, 1, 
2019/11/20, 11, 3, , 4, 1, 
2019/11/21, 6, 6, , 16, 1, 
2019/11/22, 12, 6, , 21, 2, 
2019/11/23, 20, 14, , 42, 3, 
2019/11/24, 16, 10, , 53, 4, 
2019/11/25, 19, 9, , 34, 4, 
2019/11/26, 16, 9, , 46, 3, 
2019/11/27, 16, 9, , 44, 3, 
2019/11/28, 20, 6, , 35, 2, 
2019/11/29, 22, 4, , 25, 1, 
2019/11/30, 12, 3, , 12, 1, 
2019/12/1, 6, 4, , 4, 1, 
2019/12/2, 5, 14, , 12, 1, 
2019/12/3, 30, 8, , 17, 1, 
2019/12/4, 19, 11, , 58, 4, 
2019/12/5, 18, 7, , 38, 2, 
2019/12/6, 17, 4, , 2, 1, 
2019/12/7, 8, 8, , 10, 1, 
2019/12/8, 13, 5, , 10, 1, 
2019/12/9, 11, 6, , 7, 1, 
2019/12/10, 15, 7, , 7, 1, 
2019/12/11, 19, 6, , 19, 1, 
2019/12/12, 11, 5, , 17, 2, 
2019/12/13, 11, 9, , 49, 3, 
2019/12/14, 12, 5, , 25, 2, 
2019/12/15, 11, 5, , 18, 1, 
2019/12/16, 7, 5, , 14, 1, 
2019/12/17, 9, 4, , 15, 1, 
2019/12/18, 8, 5, , 28, 2, 
2019/12/19, 8, 6, , 11, 1, 
2019/12/20, 10, 5, , 4, 1, 
2019/12/21, 8, 10, , 28, 3, 
2019/12/22, 17, 10, , 50, 3, 
2019/12/23, 18, 8, , 34, 3, 
2019/12/24, 25, 6, , 15, 2, 
2019/12/25, 12, 3, , 5, 1, 
2019/12/26, 8, 9, , 17, 1, 
2019/12/27, 12, 6, , 11, 1, 
2019/12/28, 9, 4, , , , 
2019/7/1, 8, 8, , , 1, 
2019/7/2, 8, 7, , 1, 1, 
2019/7/3, 9, 12, , , , 
2019/7/4, 12, 9, , , 1, 
2019/7/5, 7, 9, , , 1, 
2019/7/6, 9, 8, , 1, 2, 
2019/7/7, 10, 16, , , , 
2019/7/8, 15, 11, , , , 
2019/7/9, 13, 29, , , 1, 
2019/7/10, 39, 24, , 1, 1, 
2019/7/11, 23, 15, , 1, 1, 
2019/7/12, 19, 9, , 2, 1, 
2019/7/13, 15, 9, , 1, , 
2019/7/14, 5, 8, , 2, , 
2019/7/15, 8, 17, , 3, 1, 
2019/7/16, 8, 23, , 3, 3, 
2019/7/17, 13, 7, , 4, 1, 
2019/7/18, 10, 8, , 3, 1, 
2019/7/19, 11, 4, , , 1, 
2019/7/20, 6, 4, , , 1, 
2019/7/21, 10, 7, , , 1, 
2019/7/22, 7, 6, , 3, , 
2019/7/23, 12, 5, , , , 
2019/7/24, 9, 7, , 3, 1, 
2019/7/25, 9, 7, , 2, 1, 
2019/7/26, 10, 5, , , , 
2019/7/27, 10, 3, , 3, , 
2019/7/28, 6, 8, , 4, 1, 
2019/7/29, 4, 17, , 3, 1, 
2019/7/30, 14, 27, , , 1, 
2019/7/31, 35, 31, , , 1, 
2019/8/1, 52, 13, , 3, 1, 
2019/8/2, 28, 11, , , 1, 
2019/8/3, 33, 9, , , 2, 
2019/8/4, 29, 8, , , 1, 
2019/8/5, 23, 6, , 3, 2, 
2019/8/6, 15, 6, , 1, 1, 
2019/8/7, 11, 7, , 2, 1, 
2019/8/8, 11, 6, , 2, 1, 
2019/8/9, 6, 10, , 1, 1, 
2019/8/10, 8, 7, , 1, 1, 
2019/8/11, 7, 10, , 1, 1, 
2019/8/12, 26, 6, , 2, 1, 
2019/8/13, 41, 7, , 2, 1, 
2019/8/14, 123, 7, , 3, 1, 
2019/8/15, 6, 13, , 3, 1, 
2019/8/16, 13, 8, , 1, , 
2019/8/17, 7, 9, , 2, , 
2019/8/18, 12, 10, , 8, , 
2019/8/19, 11, 44, , 2, , 
2019/8/20, 47, 21, , 1, , 
2019/8/21, 26, 20, , 3, 2, 
2019/8/22, 13, 6, , , , 
2019/8/23, 9, 8, , 3, , 
2019/8/24, 11, 7, , 1, , 
2019/8/25, 7, 10, , 2, , 
2019/8/26, 12, 8, , 1, , 
2019/8/27, 11, 4, , 1, , 
2019/8/28, 7, 5, , 6, , 
2019/8/29, 5, 5, , 6, , 
2019/8/30, 5, 3, , 4, , 
2019/8/31, 5, 4, , 3, , 
2019/9/1, 7, 6, , 7, , 
2019/9/2, 6, 6, , 5, , 
2019/9/3, 7, 6, , 4, , 
2019/9/4, 9, 6, , 6, , 
2019/9/5, 11, 6, , 2, , 
2019/9/6, 8, 5, , , , 
2019/9/7, 4, 11, , , , 
2019/9/8, 12, 10, , , , 
2019/9/9, 9, 6, , , , 
2019/9/10, 7, 6, , , , 
2019/9/11, 9, 9, , , , 
2019/9/12, 11, 14, , 5, , 
2019/9/13, 22, 9, , , , 
2019/9/14, 10, 13, , , , 
2019/9/15, 17, 11, , 2, , 
2019/9/16, 17, 21, , 8, , 
2019/9/17, 9, 5, , 2, , 
2019/9/18, 5, 5, , 4, , 
2019/9/19, 6, 11, , , , 
2019/9/20, 14, 20, , , , 
2019/9/23, 13, 9, , , , 
2019/9/24, 15, 7, , , , 
2019/9/25, 6, 6, , , , 
2019/9/26, 6, 7, , , , 
2019/9/27, 10, 7, , , , 
2019/9/28, 7, 8, , , 1, 
2019/9/29, 8, 14, , , 1, 
2019/9/30, 21, 8, , , , 
2019/4/1, 16, 11, , 2, , 
2019/4/2, 21, 15, , 1, , 
2019/4/3, 28, 7, , 3, , 
2019/4/4, 14, 10, , 4, , 
2019/4/5, 26, 17, , , , 
2019/4/6, 35, 24, , , , 
2019/4/7, 41, 17, , 2, , 
2019/4/8, 28, 13, , 2, , 
2019/4/9, 25, 36, , 2, , 
2019/4/10, 53, 18, , 1, , 
2019/4/11, 28, 37, , , , 
2019/4/12, 45, 14, , , , 
2019/4/13, 22, 27, , , , 
2019/4/14, 48, 14, , 1, , 
2019/4/15, 24, 11, , 1, , 
2019/4/16, 16, 8, , 1, , 
2019/4/17, 13, 6, , , , 
2019/4/18, 6, 16, , , , 
2019/4/19, 16, 17, , , , 
2019/4/20, 30, 23, , , , 
2019/4/21, 49, 14, , 2, , 
2019/4/22, 20, 4, , 2, , 
2019/4/23, 10, 9, , 4, , 
2019/4/24, 20, 48, , 1, , 
2019/4/25, 80, 17, , 2, , 
2019/4/26, 26, 24, , 1, , 
2019/4/27, 26, 15, , , , 
2019/4/28, 15, 16, , 1, , 
2019/4/29, 31, 12, , 2, , 
2019/4/30, 17, 10, , 2, 1, 
2019/5/1, 15, 4, , 2, , 
2019/5/2, 8, , , , , 
2019/5/4, 19, 14, , 2, , 
2019/5/5, 18, 11, , 2, , 
2019/5/6, 21, 10, , 1, , 
2019/5/7, 16, 9, , 1, , 
2019/5/8, 14, 8, , 1, , 
2019/5/9, 11, 8, , 1, , 
2019/5/10, 14, 7, , 1, , 
2019/5/11, 11, 16, , , , 
2019/5/12, 15, 10, , 1, , 
2019/5/13, 11, 36, , 1, , 
2019/5/14, 47, 21, , 1, , 
2019/5/15, 23, 6, , 1, , 
2019/5/16, 12, 10, , 2, , 
2019/5/17, 16, 8, , 2, , 
2019/5/18, 13, 16, , 2, 1, 
2019/5/19, 32, 9, , 2, , 
2019/5/20, 11, 7, , 2, 1, 
2019/5/21, 10, 9, , 3, 2, 
2019/5/22, 12, 11, , 2, 1, 
2019/5/23, 16, 13, , 2, 1, 
2019/5/24, 27, 12, , 2, 1, 
2019/5/25, 17, 15, , , , 
2019/5/26, 12, 10, , , 1, 
2019/5/27, 13, 10, , 1, , 
2019/5/28, 13, 16, , 1, , 
2019/5/29, 19, 7, , 2, , 
2019/5/30, 9, 13, , 2, 1, 
2019/5/31, 14, 19, , 1, 1, 
2019/6/1, 23, 12, , , , 
2019/6/2, 14, 17, , 1, , 
2019/6/3, 23, 10, , 1, , 
2019/6/4, 13, 15, , 1, , 
2019/6/5, 19, 14, , 2, 2, 
2019/6/6, 18, 12, , 3, , 
2019/6/7, 14, 14, , 1, , 
2019/6/8, 16, 9, , 2, , 
2019/6/9, 12, 54, , 1, , 
2019/6/10, 18, 16, , 3, 1, 
2019/6/11, 26, 15, , 2, , 
2019/6/12, 22, 12, , 2, , 
2019/6/13, 18, 37, , 4, 1, 
2019/6/14, 32, 21, , 3, 1, 
2019/6/15, 23, 92, , , 1, 
2019/6/16, 27, 12, , , , 
2019/6/17, 32, 15, , 2, , 
2019/6/19, 5, 10, , 2, 1, 
2019/6/20, 7, 21, , 2, 1, 
2019/6/21, 14, 11, , 3, 1, 
2019/6/22, 13, 9, , 3, 1, 
2019/6/23, 12, 10, , 2, 1, 
2019/6/24, 10, 15, , 2, 1, 
2019/6/25, 26, 19, , 2, , 
2019/6/26, 27, 6, , 2, , 
2019/6/27, 8, 6, , , , 
2019/6/28, 8, 9, , , , 
2019/6/29, 12, 13, , , , 
2019/6/30, 11, 11, , 3, , 
2019/3/11, 47, 8, , 15, 3, 
2019/3/12, 95, 10, , 1, 6, 
2019/3/13, 33, 17, , 2, 4, 
2019/3/14, 42, 14, , 2, 1, 
2019/3/15, 38, 6, , 3, 1, 
2019/3/16, 35, 5, , 1, 1, 
2019/3/17, 33, 6, , 2, 1, 
2019/3/18, 27, 6, , 5, 1, 
2019/3/19, 46, 4, , 8, 4, 
2019/3/20, 60, 8, , 5, 10, 
2019/3/21, 44, 1, , 1, 1, 
2019/3/22, 20, 9, , 3, 1, 
2019/3/23, 14, 10, , 1, , 
2019/3/24, 21, 7, , 1, 1, 
2019/3/25, 12, 21, , 2, , 
2019/3/26, 36, 17, , 1, , 
2019/3/27, 29, 10, , 2, , 
2019/3/28, 17, 10, , 2, , 
2019/3/29, 13, 6, , 2, , 
2019/3/30, 15, 8, , 1, , 
2019/3/31, 17, 9, , 3, , 
2018/10/1, 12, 14, , 3, , 
2018/10/2, 16, 9, , 3, , 
2018/10/3, 13, 5, , 3, , 
2018/10/4, 13, 5, , 2, , 
2018/10/5, 12, 7, , 3, , 
2018/10/6, 12, 6, , 4, , 
2018/10/7, 16, 5, , 3, , 
2018/10/8, 10, 6, , 3, , 
2018/10/9, 10, 7, , 5, , 
2018/10/10, 11, 9, , 1, , 
2018/10/11, 16, 11, , 3, , 
2018/10/12, 18, 9, , 6, , 
2018/10/13, 15, 5, , 3, , 
2018/10/14, 10, 7, , 5, , 
2018/10/15, 10, 6, , 3, , 
2018/10/16, 10, 11, , 5, , 
2018/10/17, 11, 9, , 2, , 
2018/10/18, 12, 11, , 2, , 
2018/10/19, 16, 12, , , , 
2018/10/20, 16, 20, , 1, , 
2018/10/21, 20, 12, , 4, 1, 
2018/10/22, 38, 11, , 4, , 
2018/10/23, 34, 7, , 2, , 
2018/10/24, 15, 7, , 1, , 
2018/10/25, 13, 8, , 2, , 
2018/10/26, 24, 13, , 1, , 
2018/10/27, 25, 7, , 3, , 
2018/10/28, 21, 5, , 9, , 
2018/11/6, 10, 13, , 14, , 
2018/11/7, 14, 13, , 10, , 
2018/11/8, 20, 11, , , , 
2018/11/9, 10, 15, , , , 
2018/11/10, 18, 29, , , , 
2018/11/11, 29, , , , , 
2018/7/1, 6, 10, , 2, 2, 
2018/7/2, 9, 13, , 2, 2, 
2018/7/3, 20, 8, , 2, 3, 
2018/7/4, 15, 7, , 1, 2, 
2018/7/5, 12, 9, , 1, 2, 
2018/7/6, 11, 10, , 1, 2, 
2018/7/7, 9, 6, , , 2, 
2018/7/8, 10, 11, , 1, 2, 
2018/7/9, 23, 13, , 1, 2, 
2018/7/10, 22, 7, , 2, 2, 
2018/7/11, 9, 6, , 2, 2, 
2018/7/12, 10, 6, , 2, 2, 
2018/7/13, 7, 7, , 2, 2, 
2018/7/14, 15, 7, , 1, 2, 
2018/7/15, 13, 7, , 2, 2, 
2018/7/16, 8, 10, , 2, 2, 
2018/7/17, 22, 8, , 2, 2, 
2018/7/18, 21, 8, , 2, 2, 
2018/7/19, 20, 7, , 2, 2, 
2018/7/20, 18, 7, , 1, 2, 
2018/7/21, 9, 5, , 1, 2, 
2018/7/22, 9, 10, , 1, 2, 
2018/7/23, 11, 7, , 2, 2, 
2018/7/24, 9, 8, , 2, 2, 
2018/7/25, 11, 10, , 3, 2, 
2018/7/26, 10, 13, , 1, 2, 
2018/7/27, 28, 12, , 3, 3, 
2018/7/28, 39, 52, , 4, 2, 
2018/7/29, 61, 91, , 2, 2, 
2018/7/30, 20, 12, , 2, 2, 
2018/7/31, 30, 10, , 3, 3, 
2018/8/1, 32, 6, , 2, 2, 
2018/8/2, 17, 5, , 1, 2, 
2018/8/3, 13, 8, , 2, 2, 
2018/8/4, 18, 7, , 1, 2, 
2018/8/5, 10, 11, , 3, 2, 
2018/8/6, 7, 9, , 1, 2, 
2018/8/7, 10, 9, , 2, 2, 
2018/8/8, 21, 9, , 2, 2, 
2018/8/9, 39, 7, , 2, 2, 
2018/8/10, 23, 9, , , 2, 
2018/8/11, 19, 6, , , 2, 
2018/8/12, 17, 16, , 2, 2, 
2018/8/13, 31, 7, , 3, 2, 
2018/8/14, 17, 6, , 2, 2, 
2018/8/15, 10, 6, , 3, 2, 
2018/8/16, 14, 6, , 2, 2, 
2018/8/17, 19, 10, , 3, 2, 
2018/8/18, 24, 8, , 3, 2, 
2018/8/21, 54, 9, , 2, 2, 
2018/8/22, 61, 7, , 2, 2, 
2018/8/23, 41, 7, , 3, 3, 
2018/8/24, 30, 7, , 2, 3, 
2018/8/25, 31, 10, , 1, 2, 
2018/8/26, 35, 6, , 1, 2, 
2018/8/27, 25, 6, , 4, 2, 
2018/8/28, 41, 6, , 2, 2, 
2018/8/29, 35, 7, , 2, 2, 
2018/8/30, 49, 14, , 2, 2, 
2018/8/31, 30, 18, , 2, 2, 
2018/9/1, 35, 9, , 2, 2, 
2018/9/2, 16, 7, , 3, 20, 
2018/9/3, 12, 7, , 3, 15, 
2018/9/4, 11, 8, , 4, , 
2018/9/5, 15, 10, , 1, , 
2018/9/6, 18, 20, , , , 
2018/9/7, 30, 12, , 1, , 
2018/9/8, 25, 6, , 1, , 
2018/9/9, 12, 6, , 2, , 
2018/9/10, 11, 8, , 3, , 
2018/9/11, 11, 14, , 3, , 
2018/9/12, 11, 15, , 7, , 
2018/9/13, 15, 11, , 5, , 
2018/9/14, 12, 8, , 1, , 
2018/9/15, 11, 14, , 1, , 
2018/9/16, 12, 9, , 8, , 
2018/9/17, 16, 7, , 5, , 
2018/9/18, 12, 9, , 4, , 
2018/9/19, 13, 7, , 1, , 
2018/9/20, 12, 6, , 1, , 
2018/9/21, 14, 8, , 5, , 
2018/9/22, 16, 7, , 3, , 
2018/9/23, 14, 13, , 2, , 
2018/9/24, 21, 10, , 2, 1, 
2018/9/25, 14, 8, , 4, , 
2018/9/26, 10, 8, , 5, , 
2018/9/27, 10, 9, , 2, , 
2018/9/28, 14, 10, , 1, , 
2018/9/29, 12, 15, , 2, , 
2018/9/30, 16, 8, , 1, , 
2018/5/12, 31, 13, , 2, , 
2018/5/13, 51, 31, , 2, , 
2018/5/14, 30, 17, , 4, 2, 
2018/5/15, 14, 15, , 3, 2, 
2018/5/16, 22, 10, , 2, 2, 
2018/5/17, 21, 10, , 1, 2, 
2018/5/18, 12, 15, , 2, 1, 
2018/5/19, 13, 9, , , 2, 
2018/5/20, 19, 10, , , 2, 
2018/5/21, 9, 9, , 1, 2, 
2018/5/22, 14, 7, , 1, 2, 
2018/5/23, 29, 20, , 1, 2, 
2018/5/24, 26, 17, , 3, 2, 
2018/5/25, 28, 9, , 1, 2, 
2018/5/26, 15, 6, , 2, 2, 
2018/5/27, 18, 11, , 3, 2, 
2018/5/28, 9, 10, , 2, 2, 
2018/5/29, 24, 24, , , 2, 
2018/5/30, 17, 10, , 2, 2, 
2018/5/31, 10, 6, , 1, 2, 
2018/6/1, 19, 12, , 1, 2, 
2018/6/2, 24, 11, , 2, 2, 
2018/6/3, 16, 11, , 1, 2, 
2018/6/4, 15, 9, , 2, 3, 
2018/6/5, 35, 10, , 2, 2, 
2018/6/6, 8, 6, , 2, 2, 
2018/6/7, 20, 10, , 2, 2, 
2018/6/8, 13, 8, , 2, 2, 
2018/6/9, 8, 4, , 1, 2, 
2018/6/10, 10, 6, , 1, 2, 
2018/6/11, 14, 7, , 2, 2, 
2018/6/12, 12, 7, , 2, 2, 
2018/6/13, 13, 6, , 2, 2, 
2018/6/14, 10, 6, , 3, 2, 
2018/6/15, 6, 6, , 1, 2, 
2018/6/16, 13, 6, , 1, 2, 
2018/6/17, 15, 11, , 1, 2, 
2018/6/18, 9, 7, , 2, 2, 
2018/6/19, 10, 5, , 3, 2, 
2018/6/20, 7, 10, , 2, 2, 
2018/6/21, 14, 8, , 3, 2, 
2018/6/22, 13, 8, , 2, 2, 
2018/6/23, 9, 7, , 1, 2, 
2018/6/24, 9, 7, , 1, 2, 
2018/6/25, 16, 13, , 1, 2, 
2018/6/26, 15, 13, , 2, 2, 
2018/6/27, 9, 6, , 3, 2, 
2018/6/28, 14, 7, , 1, 2, 
2018/6/29, 12, 6, , 2, 2, 
2018/6/30, 12, 5, , 2, 2, 
2016/10/1, 25, 6, , 3, , 
2016/10/2, 27, 9, , 1, , 
2016/10/3, 39, 18, , 3, , 
2016/10/4, 32, 16, , 1, , 
2016/10/5, 29, 12, , 3, , 
2016/10/6, 23, 16, , 2, , 
2016/10/7, 36, 14, , 1, , 
2016/10/8, 31, 8, , 2, , 
2016/10/9, 23, 7, , 5, , 
2016/10/10, 17, 4, , 3, , 
2016/10/11, 22, 5, , 2, , 
2016/10/12, 21, 7, , 4, , 
2016/10/13, 18, 17, , 4, , 
2016/10/14, 34, 7, , 5, , 
2016/10/15, 21, 5, , 5, , 
2016/10/16, 20, 7, , 7, , 
2016/10/17, 24, 6, , 7, , 
2016/10/18, 21, 8, , 1, , 
2016/10/19, 19, 28, , 3, , 
2016/10/20, 52, 8, , 4, , 
2016/10/21, 29, 8, , 3, , 
2016/10/22, 24, 8, , 3, , 
2016/10/23, 21, 7, , 10, , 
2016/10/24, 36, 5, , 3, , 
2016/10/25, 16, 9, , 5, , 
2016/10/26, 24, 9, , 7, , 
2016/10/27, 31, 11, , 8, , 
2016/10/28, 27, 6, , 2, , 
2016/10/29, 21, 9, , 1, , 
2016/10/30, 23, 13, , 9, , 
2016/10/31, 36, 18, , 13, , 
2016/11/1, 30, 6, , 3, , 
2016/11/2, 16, 7, , 16, , 
2016/11/3, 27, 9, , 18, , 
2016/11/4, 26, 6, , 7, , 
2016/11/5, 17, 3, , 2, , 
2016/11/6, 26, 5, , 3, , 
2016/11/7, 18, 8, , 5, , 
2016/11/8, 27, 4, , 8, , 
2016/11/9, 16, 10, , 9, , 
2016/11/10, 24, 6, , 3, , 
2016/11/11, 23, 14, , 4, , 
2016/11/12, 31, 17, , 1, , 
2016/11/13, 36, 10, , 7, , 
2016/11/14, 24, 12, , 3, , 
2016/11/15, 32, , , , , 
2016/7/15, 61, 6, , 2, , 
2016/7/16, 33, 7, , 3, , 
2016/7/17, 30, 8, , 3, , 
2016/7/18, 103, 12, , 4, , 
2016/7/19, 33, 11, , 5, , 
2016/7/20, 42, 13, , 5, , 
2016/7/21, 36, 7, , 4, , 
2016/7/22, 28, 5, , 4, , 
2016/7/23, 24, 7, , 4, , 
2016/7/24, 34, 8, , 3, , 
2016/7/25, 32, 8, , 5, , 
2016/7/26, 43, 10, , 4, , 
2016/7/27, 37, 12, , 5, , 
2016/7/28, 48, 9, , 4, , 
2016/7/29, 43, 9, , 4, , 
2016/7/30, 50, 10, , 3, , 
2016/7/31, 42, 8, , 3, , 
2016/8/1, 38, 8, , 4, , 
2016/8/2, 38, 10, , 4, , 
2016/8/3, 39, 8, , 4, , 
2016/8/4, 39, 8, , 2, , 
2016/8/5, 41, 8, , 4, , 
2016/8/6, 57, 12, , 4, , 
2016/8/7, 48, 9, , 2, , 
2016/8/8, 28, 12, , 3, , 
2016/8/9, 33, 10, , 5, , 
2016/8/10, 17, 4, , 3, , 
2016/8/18, 49, 11, , 5, , 
2016/8/19, 35, 8, , 5, , 
2016/8/20, 45, 12, , 4, , 
2016/8/21, 27, 7, , 3, , 
2016/8/22, 38, 10, , 4, , 
2016/8/23, 53, 12, , 3, , 
2016/8/24, 44, 12, , 5, , 
2016/8/25, 43, 13, , 5, , 
2016/8/26, 34, 9, , 4, , 
2016/8/27, 39, 9, , 3, , 
2016/8/28, 40, 9, , 3, , 
2016/8/29, 37, 9, , 5, , 
2016/8/30, 33, 7, , 3, , 
2016/8/31, 34, 5, , 3, , 
2016/9/1, 37, 11, , 4, , 
2016/9/2, 32, 7, , 3, , 
2016/9/3, 29, 7, , 4, , 
2016/9/4, 30, 9, , 2, , 
2016/9/5, 32, 117, , 5, , 
2016/9/6, 32, 7, , 4, , 
2016/9/7, 30, 7, , 4, , 
2016/9/8, 22, 6, , 4, , 
2016/9/9, 26, 7, , 3, , 
2016/9/10, 28, 5, , 3, , 
2016/9/11, 18, 4, , 2, , 
2016/9/12, 24, 6, , 2, , 
2016/9/13, 30, 8, , 4, , 
2016/9/14, 22, 8, , 2, , 
2016/9/15, 24, 6, , 3, , 
2016/9/16, 34, 6, , 4, , 
2016/9/17, 19, 6, , 2, , 
2016/9/18, 32, 13, , 2, , 
2016/9/19, 51, 12, , 4, , 
2016/9/20, 26, 5, , 5, , 
2016/9/21, 22, 6, , 3, , 
2016/9/22, 24, 6, , 4, , 
2016/9/23, 26, 6, , 4, , 
2016/9/24, 27, 5, , 3, , 
2016/9/25, 28, 5, , 3, , 
2016/9/26, 27, 6, , 7, , 
2016/9/27, 32, 7, , 8, , 
2016/9/28, 36, 12, , 9, , 
2016/9/29, 33, 8, , 10, , 
2016/9/30, 28, 9, , 11, , 
2016/1/4, 31, 4, , 6, , 
2016/1/5, 24, 5, , 2, , 
2016/1/6, 21, 5, , 1, , 
2016/1/7, 25, 5, , 1, , 
2016/1/8, 29, 10, , 2, , 
2016/1/9, 38, 22, , 15, , 
2016/1/10, 49, 7, , 6, , 
2016/1/11, 26, 8, , 12, , 
2016/1/12, 36, 8, , 17, , 
2016/1/13, 32, 6, , 29, , 
2016/1/14, 30, 8, , 4, , 
2016/1/15, 28, 4, , 3, , 
